origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106968,111603,23747.5,26785.0,31302.5,322966.0,364276.0,425714.0
106968,111621,460512.5,629216.25,996443.75,6262970.0,8557341.0,13551635.0
106968,111657,84842.5,93796.25,106008.75,1153858.0,1275629.0,1441719.0
106968,111699,3133.75,3636.25,4417.5,42619.0,49453.0,60078.0
106968,181083,20362.5,20477.5,20770.0,276930.0,278494.0,282472.0
106968,181085,19147.5,21142.5,24113.75,260406.0,287538.0,327947.0
106968,195727,4906.25,5017.5,5190.0,66725.0,68238.0,70584.0
106968,195913,81491.25,89758.75,101251.25,1108281.0,1220719.0,1377017.0
106968,195938,532327.5,609961.25,725993.75,7239654.0,8295473.0,9873515.0
106977,106987,8597.5,8580.0,8603.75,116926.0,116688.0,117011.0
106977,106997,52916.25,64305.0,83352.5,719661.0,874548.0,1133594.0
106977,110970,3420.0,3312.5,3188.75,46512.0,45050.0,43367.0
106977,111052,3403.75,3298.75,3173.75,46291.0,44863.0,43163.0
106977,111059,2271.25,2535.0,2900.0,30889.0,34476.0,39440.0
106977,111069,1085.0,1051.25,1011.25,14756.0,14297.0,13753.0
106977,111077,1787.5,1732.5,1667.5,24310.0,23562.0,22678.0
106977,111084,1673.75,1621.25,1561.25,22763.0,22049.0,21233.0
106977,111186,846.25,820.0,788.75,11509.0,11152.0,10727.0
106977,111208,1643.75,1591.25,1530.0,22355.0,21641.0,20808.0
106977,111217,30587.5,33200.0,36825.0,415990.0,451520.0,500820.0
106977,111241,1012.5,981.25,943.75,13770.0,13345.0,12835.0
106977,111283,5767.5,5588.75,5376.25,78438.0,76007.0,73117.0
106977,111322,1578.75,1530.0,1473.75,21471.0,20808.0,20043.0
106977,111359,2038.75,1976.25,1905.0,27727.0,26877.0,25908.0
106977,111366,2632.5,2550.0,2455.0,35802.0,34680.0,33388.0
